Subject,Accuracy,Avg_Time,Efficiency
AIML,70.0,0.97,Medium
AIML,92.4,2.1,High
Python,88.3,3.2,High
AIML,81.7,4.3,High
Python,76.5,3.8,High
AIML,84.9,2.9,High
Python,79.2,4.5,High
AIML,73.0,6.2,Medium
Python,68.4,5.9,Medium
AIML,65.3,7.1,Medium
Python,58.7,6.5,Medium
AIML,61.2,8.3,Medium
Python,70.6,5.4,Medium
AIML,52.8,7.9,Medium
Python,45.5,6.8,Medium
AIML,49.1,8.7,Medium
Python,40.2,7.3,Medium
AIML,35.6,9.4,Low
Python,30.8,8.9,Low
AIML,28.4,9.8,Low
Python,25.3,9.5,Low
AIML,33.7,8.6,Low
Python,21.9,9.9,Low
AIML,95.0,1.8,High
Python,90.4,2.6,High
AIML,86.8,3.7,High
Python,82.1,4.1,High
AIML,78.9,4.9,High
Python,74.5,5.8,Medium
AIML,69.3,6.7,Medium
Python,63.8,7.5,Medium
AIML,57.4,7.8,Medium
Python,54.2,6.9,Medium
AIML,47.8,8.1,Medium
Python,42.6,7.6,Medium
AIML,39.5,9.1,Low
Python,34.2,8.4,Low
AIML,31.7,9.6,Low
Python,27.5,9.3,Low
AIML,93.8,2.4,High
Python,87.6,3.0,High
AIML,83.5,4.0,High
Python,80.2,4.7,High
AIML,77.1,5.1,Medium
Python,72.4,6.0,Medium
AIML,66.8,6.6,Medium
Python,60.9,7.2,Medium
AIML,55.6,7.7,Medium
Python,50.3,8.0,Medium
AIML,44.9,8.8,Medium
Python,38.7,9.2,Low
AIML,29.4,9.7,Low
Python,24.8,9.9,Low
AIML,97.2,1.5,High
Python,91.3,2.2,High
AIML,85.4,3.6,High
Python,79.8,4.4,High
AIML,71.2,5.9,Medium
Python,64.7,6.4,Medium
Python,0.0,1.08,High
AIML,5.0,2.0,Low
Python,0.0,1.5,Low
AIML,10.0,3.0,Low
Python,15.0,2.5,Low
AIML,8.0,4.0,Low
Python,0.0,0.78,Low
AIML,20.0,2.2,Low
AIML,75.0,4.5,High
Python,0.0,18.5,Low
AIML,0.0,6.0,Low
AIML,0.0,8.0,Low
AIML,30.0,10.5,Low
Python,40.0,15.8,Low
AIML,20.0,19.4,Low
